hgnc,hgncMatch
MFN1,ENST00000471841
TAF12,ENST00000263974
MAN1C1,ENST00000374332
SLC9A1,ENST00000263980
FBXW7,ENST00000281708
PET112,ENST00000263985
EHBP1,ENST00000263991
SLC7A6OS,ENST00000263997
CKLF,ENST00000264001
LCAT,ENST00000264005
HSF4,ENST00000264009
CTCF,ENST00000264010
CDH3,ENST00000264012
DDX6,ENST00000264018
IFT46,ENST00000264020
PVRL1,ENST00000264025
SC5D,ENST00000264027
ARCN1,ENST00000264028
TREH,
UPK2,ENST00000264031
CBL,ENST00000264033
MCAM,ENST00000264036
TECTA,ENST00000392793
GPC1,ENST00000264039
FARP2,ENST00000264042
SLC5A7,ENST00000264047
NGEF,ENST00000264051
SP100,ENST00000340126
DGKD,ENST00000264057
EFHD1,ENST00000264059
DNAJC10,ENST00000264065
TUBB4A,ENST00000264071
MCOLN1,ENST00000264079
GPR108,ENST00000264080
SLC25A23,ENST00000301454
MTHFD2,ENST00000394053
DGUOK,ENST00000264093
LOXL3,ENST00000264094
ITGA6,ENST00000409080
HAT1,ENST00000264108
ATF2,ENST00000264110
RAPGEF4,ENST00000397081
CBLB,ENST00000264122
GPSM2,ENST00000406462
SLC25A24,ENST00000565488
LAMC2,ENST00000264144
OSGEPL1,ENST00000264151
MCM6,ENST00000264156
CCNT2,ENST00000264157
RAB3GAP1,ENST00000442034
ZRANB3,ENST00000264159
R3HDM1,ENST00000264160
DARS,ENST00000264161
LCT,ENST00000264162
AGPS,ENST00000264167
ORC4,ENST00000392857
KYNU,ENST00000264170
ERO1LB,ENST00000354619
ARID4B,ENST00000264183
NID1,ENST00000264187
CYTIP,ENST00000264192
CPOX,ENST00000264193
MUL1,ENST00000264198
CAPZB,ENST00000375142
ECE1,ENST00000374893
EIF4G3,ENST00000602326
NMU,ENST00000264218
PPAT,ENST00000264220
PAICS,ENST00000399688
SRD5A3,ENST00000264228
KIAA1211,ENST00000504228
NOA1,ENST00000264230
POPDC2,ENST00000264231
POLQ,ENST00000264233
UPK1B,ENST00000264234
GSK3B,ENST00000316626
TIMMDC1,ENST00000494664
ARHGAP31,ENST00000264245
CD80,ENST00000264246
CHST10,ENST00000264249
PDCL3,ENST00000264254
TXNDC9,ENST00000264255
IL1RL2,ENST00000264257
RPL31,ENST00000409028
IL18RAP,ENST00000264260
GFM1,ENST00000486715
LXN,ENST00000264265
MFSD1,ENST00000415822
CASP8,ENST00000358485
ALS2,ENST00000264276
NOP58,ENST00000264279
OCIAD1,ENST00000381473
SLAIN2,ENST00000264313
TXK,ENST00000264316
GABRA4,ENST00000264318
FRYL,ENST00000358350
TOP2B,ENST00000435706
YWHAE,ENST00000264335
ARHGAP24,ENST00000395184
FAM13A,ENST00000264344
HERC3,ENST00000402738
HERC6,ENST00000264346
HERC5,ENST00000264350
GRIA3,ENST00000264357
PCDH10,ENST00000264360
NDST4,ENST00000264363
ANK2,ENST00000357077
CRYGD,ENST00000264376
ADAM23,ENST00000264377
PIKFYVE,ENST00000264380
BCHE,ENST00000264381
SI,ENST00000264382
C2orf83,ENST00000264387
COPS4,ENST00000264389
PRKG2,ENST00000395578
RASGEF1B,ENST00000264400
SEC31A,ENST00000395310
AGPAT9,ENST00000395226
CUL3,ENST00000264414
GUCY1B3,ENST00000264424
GRIA2,ENST00000296526
GLRB,ENST00000264428
RAPGEF2,ENST00000264431
FNIP2,ENST00000264433
C2orf42,ENST00000264434
ADD2,ENST00000264436
PCYOX1,ENST00000433351
MXD1,ENST00000264444
ZNF638,ENST00000409544
ALMS1,ENST00000264448
ATP8A1,ENST00000381668
SLC30A9,ENST00000264451
TMEM33,ENST00000504986
SEC22C,ENST00000264454
CDH10,ENST00000264463
CD86,ENST00000330540
CSTA,ENST00000264474
SLC4A4,ENST00000425175
AREG,ENST00000395748
IL21,ENST00000264497
FGF2,ENST00000264498
BBS7,ENST00000264499
KIAA1109,ENST00000264501
RBBP5,ENST00000264515
IFT57,ENST00000264538
FRMD4A,ENST00000357447
UBE2S,ENST00000264552
GZMM,ENST00000264553
SHC2,ENST00000264554
PHRF1,ENST00000416188
PALM,ENST00000338448
IL11,ENST00000264563
BMPR1B,ENST00000440890
RAP1GDS1,ENST00000339360
LARP1B,ENST00000326639
AGA,ENST00000264595
NEIL3,ENST00000264596
RAB17,ENST00000264601
MLPH,ENST00000264605
ASB1,ENST00000264607
CP,ENST00000264613
WNT5A,ENST00000474267
THRA,ENST00000264637
CNTNAP1,ENST00000264638
PSMD3,ENST00000264639
SMARCE1,ENST00000348513
RAPGEFL1,ENST00000436615
CASC3,ENST00000264645
ATP6V0A1,ENST00000264649
KRT24,ENST00000264651
STAT3,ENST00000264657
FBXL20,ENST00000264658
SRCIN1,ENST00000264659
KCNH4,ENST00000264661
NNT,ENST00000264663
FGF10,ENST00000264664
MTRR,ENST00000264668
FASTKD3,ENST00000264669
NSUN2,ENST00000264670
MECOM,ENST00000264674
LRRC31,ENST00000316428
SERPINI2,ENST00000476257
UFSP2,ENST00000264689
KLKB1,ENST00000264690
F11,ENST00000403665
SNX25,ENST00000504273
FNDC4,ENST00000264703
CAD,ENST00000264705
POMC,ENST00000405623
DNMT3A,ENST00000264709
RAB10,ENST00000264710
DNAJC27,ENST00000264711
KIF3C,ENST00000264712
FOSL2,ENST00000264716
GCKR,ENST00000264717
GPN1,ENST00000264718
EFR3B,ENST00000403714
GTF3C2,ENST00000359541
CSPG5,ENST00000383738
MAP4,ENST00000360240
TMEM40,ENST00000314124
FGF12,ENST00000454309
TP63,ENST00000264731
CLDN16,ENST00000264734
HRASLS,ENST00000264735
ITGA9,ENST00000264741
FGFRL1,ENST00000398484
MAEA,ENST00000303400
ADD1,ENST00000264758
TMEM175,ENST00000264771
KCNN2,ENST00000512097
PPAP2A,ENST00000264775
GPBP1,ENST00000264779
SLC2A9,ENST00000264784
MMRN1,ENST00000394980
PDE5A,ENST00000354960
PRDM5,ENST00000264808
TRPC3,ENST00000379645
TYK2,ENST00000525621
MIER2,ENST00000264819
LYL1,ENST00000264824
HOOK2,ENST00000397668
COL5A3,ENST00000264828
ICAM1,ENST00000264832
OLFM2,ENST00000264833
KLF1,ENST00000264834
RIMS1,ENST00000521978
C3orf52,ENST00000431717
SIDT1,ENST00000264852
PI4K2B,ENST00000264864
TBC1D19,ENST00000264866
PPARGC1A,ENST00000264867
SEL1L3,ENST00000399878
F13A1,ENST00000264870
NUP54,ENST00000264883
CXCL9,ENST00000264888
SEPT11,ENST00000264893
FRAS1,ENST00000264895
SCARB2,ENST00000264896
CNOT6L,ENST00000264903
USO1,
ANXA3,ENST00000264908
ARSB,ENST00000264914
PDE8B,ENST00000264917
RAD18,ENST00000264926
SLC12A7,ENST00000264930
SDHA,ENST00000264932
PDCD6,ENST00000264933
MTMR12,ENST00000382142
CEP72,ENST00000264935
SLC9A3,ENST00000264938
XRN1,ENST00000264951
GRK7,ENST00000264952
GRPEL1,ENST00000264954
EVC,ENST00000382674
LMAN2L,ENST00000377079
MGAT4A,ENST00000264968
ZAP70,ENST00000264972
PPP2R3A,ENST00000264977
CEP70,ENST00000264982
SLC10A7,ENST00000335472
ACAD11,ENST00000264990
UBA5,ENST00000356232
ASTE1,ENST00000264992
CDV3,ENST00000264993
MRPL3,ENST00000264995
TF,ENST00000402696
GALNT7,ENST00000265000
SOX30,ENST00000265007
GCNT2,ENST00000379597
BST1,ENST00000265016
FAM184B,ENST00000265018
DGKG,ENST00000265022
KNG1,ENST00000265023
MAP3K13,ENST00000265026
DNAJB11,ENST00000439351
FETUB,ENST00000265029
DEPDC1B,ENST00000265036
ERCC8,ENST00000265038
SSR3,ENST00000265044
MGLL,ENST00000265052
MCM2,ENST00000265056
RAB7A,ENST00000265062
KIAA1257,ENST00000265068
ZFR,ENST00000265069
GOLPH3,ENST00000265070
CDH6,ENST00000265071
SUB1,ENST00000265073
NPR3,ENST00000265074
VCAN,ENST00000265077
RASGRF2,ENST00000265080
MSH3,ENST00000265081
CPEB4,ENST00000265085
STC2,ENST00000265087
ATP6V0E1,ENST00000519374
FBXW11,ENST00000265094
THOC3,ENST00000265097
RPL26L1,ENST00000521476
DNAH5,ENST00000265104
WDR70,ENST00000265107
RAI14,ENST00000515799
TARS,ENST00000455217
SLC1A3,ENST00000265113
AMBP,ENST00000265132
DFNB31,ENST00000362057
COBL,ENST00000265136
ARRDC3,ENST00000265138
ANKRD32,ENST00000265140
CENPE,ENST00000265148
TET2,ENST00000540549
ARHGEF38,ENST00000420470
ENPEP,ENST00000265162
CASP6,ENST00000265164
LEF1,ENST00000265165
EGF,ENST00000265171
PAPSS1,ENST00000265174
SEC24B,ENST00000265175
MCM8,ENST00000378896
NME5,ENST00000265191
PAIP2,ENST00000394795
SIL1,ENST00000394817
IPCEF1,ENST00000422970
ANKRD7,ENST00000265224
MRPL22,ENST00000523037
IQCG,ENST00000265239
LSG1,ENST00000265245
PCNP,ENST00000265260
ST3GAL6,ENST00000394162
RBM27,ENST00000265271
JAKMIP2,ENST00000265272
SHOC2,ENST00000369452
TLE4,ENST00000376552
WWC1,ENST00000521089
GABRP,ENST00000518525
SPDL1,ENST00000265295
FAM188B,ENST00000265299
SSBP1,ENST00000481508
TRPV5,ENST00000265310
ABCB6,ENST00000265316
OBSL1,ENST00000404537
PECR,ENST00000265322
VDAC1,ENST00000265333
CDKL3,ENST00000265334
RAD50,ENST00000265335
UBE2B,ENST00000265339
PITX1,ENST00000265340
FSTL4,ENST00000265342
AFF4,ENST00000265343
KCTD20,ENST00000373731
ZMIZ2,ENST00000309315
CUL7,ENST00000535468
MED20,ENST00000265350
XPO5,ENST00000265351
SRF,ENST00000265354
SEMA3C,ENST00000265361
SEMA3A,ENST00000265362
SYNE1,ENST00000367255
NRP1,ENST00000265371
CCNY,ENST00000374704
COL6A5,
APBA1,ENST00000265381
PIP5K1B,ENST00000265382
TJP2,ENST00000539225
TNPO3,ENST00000265388
TAX1BP1,ENST00000396319
CPVL,ENST00000409850
HIBADH,ENST00000265395
UGT2B10,
STAP1,ENST00000265404
GPR116,ENST00000283296
POLB,ENST00000265421
SLC17A2,ENST00000360488
WWP1,ENST00000517970
CALB1,ENST00000265431
NBN,ENST00000265433
ST7,ENST00000265437
TFEC,ENST00000265440
WNT2,ENST00000265441
ANXA11,ENST00000438331
WDFY4,ENST00000325239
NRXN2,ENST00000265459
MYRF,ENST00000278836
PRDX5,ENST00000265462
POLA2,ENST00000265465
B3GAT3,ENST00000265471
ELF2,ENST00000394235
MGST2,ENST00000265498
NDUFC1,ENST00000544855
ADH4,ENST00000265512
MTTP,ENST00000457717
BLVRA,ENST00000402924
KIF9,ENST00000335044
LARS2,ENST00000415258
USP4,ENST00000265560
PTPN23,ENST00000265562
PRKAR2A,ENST00000265563
EXOSC7,ENST00000265564
SCAP,ENST00000265565
OPRK1,ENST00000265572
ICA1,ENST00000402384
ABCC5,ENST00000334444
CLCN2,ENST00000265593
MCCC1,ENST00000265594
LAMP3,ENST00000265598
WASF1,ENST00000392589
AHI1,ENST00000367800
ALDH8A1,ENST00000265605
RNGTT,ENST00000369485
GNAS,ENST00000371100
PMEPA1,ENST00000341744
PON3,ENST00000265627
SLC25A13,ENST00000416240
NPTX2,ENST00000265634
PPP6R3,ENST00000393801
CPT1A,ENST00000265641
GAL,ENST00000265643
FBXO3,ENST00000265651
KIAA1549L,ENST00000321505
CDC14B,ENST00000375241
ABCA2,ENST00000341511
NSMF,ENST00000371475
RPS6KA2,ENST00000503859
TCIRG1,ENST00000265686
CHKA,ENST00000265689
ADAM18,ENST00000265707
ADAM2,ENST00000265708
ANK1,ENST00000265709
KAT6A,ENST00000396930
SLC26A4,ENST00000265715
PRKAR2B,ENST00000265717
DUS4L,ENST00000265720
ABCB4,ENST00000265723
ABCB1,ENST00000265724
ADAM22,ENST00000265727
DBF4,ENST00000265728
SRI,ENST00000265729
RBM48,ENST00000265732
CDK6,ENST00000265734
SGCE,ENST00000445866
CDK14,ENST00000265741
ANKIB1,ENST00000265742
VPS41,ENST00000310301
ANLN,ENST00000265748
EIF4H,ENST00000265753
GTF2IRD1,ENST00000455841
WBSCR22,ENST00000423497
ADAM28,ENST00000265769
STMN4,ENST00000350889
DMTN,ENST00000523266
LZTS1,ENST00000381569
R3HCC1,ENST00000265806
SH2D4A,ENST00000265807
SLC18A1,ENST00000440926
PDLIM2,ENST00000308354
RUNX1T1,ENST00000436581
FSCN3,ENST00000265825
ZNF800,ENST00000393313
SLC35F2,ENST00000525815
ACAT1,ENST00000265838
ELMOD1,ENST00000265840
EXPH5,ENST00000265843
ADAP1,ENST00000265846
PMS2,ENST00000265849
MAD1L1,ENST00000406869
GET4,ENST00000265857
RUFY2,ENST00000388768
HNRNPH3,ENST00000265866
CCAR1,ENST00000265872
REXO2,ENST00000265881
SQLE,ENST00000265896
SNX19,ENST00000265909
BRINP1,ENST00000265922
MYO3A,ENST00000265944
GAPVD1,ENST00000394105
MAPKAP1,ENST00000265960
GTF2H1,ENST00000265963
SERGEF,ENST00000265965
CSRP3,ENST00000533783
KCNC1,ENST00000265969
PIK3C2A,ENST00000265970
FAM160A2,ENST00000265978
RNF141,ENST00000265981
HPX,ENST00000265983
IDE,ENST00000265986
BTAF1,ENST00000265990
CCNJ,ENST00000465148
TCTN3,ENST00000371217
CPEB3,ENST00000265997
DAXX,ENST00000374542
MLN,ENST00000430124
GLT8D1,ENST00000407584
RBM6,ENST00000266022
TMEM115,ENST00000266025
GNAI2,ENST00000313601
HYAL1,ENST00000266031
DOCK3,ENST00000266037
CACNA2D2,ENST00000479441
ITIH4,ENST00000266041
SLIT1,ENST00000266058
SFRP5,ENST00000266066
GMEB2,ENST00000266068
GID8,ENST00000266069
DIDO1,ENST00000266070
SLC2A4RG,ENST00000266077
PRPF6,ENST00000266079
TIMP3,ENST00000266085
SLC5A4,ENST00000266086
FBXO7,ENST00000266087
SLC5A1,ENST00000266088
DEPDC5,ENST00000382112
PISD,ENST00000382151
EIF2B2,ENST00000266126
TTLL8,
SCARF2,ENST00000266214
RNF185,ENST00000326132
TTLL1,ENST00000266254
MTFP1,ENST00000266263
TEF,ENST00000266304
B4GALNT3,ENST00000266383
PDE6H,ENST00000266395
ERP27,ENST00000266397
ETV6,ENST00000396373
BCL2L14,ENST00000308721
GABARAPL1,ENST00000266458
DNM1L,ENST00000549701
FGD4,ENST00000427716
ALG10,ENST00000266483
PIK3C2G,ENST00000433979
PLCZ1,ENST00000266505
AEBP2,ENST00000398864
SLCO1C1,ENST00000381552
ETNK1,ENST00000266517
ZCRB1,ENST00000266529
TMEM117,ENST00000266534
C1RL,ENST00000266542
NDUFA9,ENST00000266544
CLSTN3,ENST00000266546
KLRG1,ENST00000356986
TAPBPL,ENST00000266556
CD27,ENST00000266557
RBP5,ENST00000266560
PEX5,ENST00000434354
SLC38A4,ENST00000447411
AMIGO2,ENST00000266581
SCAF11,ENST00000369367
ANP32D,ENST00000266594
LLPH,ENST00000266604
MARCH9,ENST00000266643
INHBE,ENST00000266646
GLIPR1,ENST00000266659
BEST3,ENST00000330891
PHLDA1,ENST00000266671
TMEM19,ENST00000266673
LGR5,ENST00000266674
CPSF6,ENST00000435070
SLC6A15,ENST00000266682
PTPRQ,
TMTC3,ENST00000266712
LUM,ENST00000266718
KERA,ENST00000266719
SNRPF,ENST00000266735
AMDHD1,ENST00000266736
NEDD1,ENST00000557644
SYCP3,ENST00000392927
ASCL1,ENST00000266744
GAS2L3,ENST00000539410
SLC15A4,ENST00000266771
TDG,ENST00000392872
MMAB,ENST00000545712
CHFR,ENST00000432561
SLC46A3,ENST00000380814
CDK2,ENST00000266970
SUOX,ENST00000394109
SLC39A5,ENST00000266980
CCDC65,ENST00000320516
TARBP2,ENST00000266987
DHH,ENST00000266991
BIN2,ENST00000267012
GPR84,ENST00000551809
NPFF,ENST00000267017
NABP2,ENST00000380198
SMARCC2,ENST00000267064
N4BP2L2,ENST00000399396
MAP3K12,ENST00000547035
ITGB7,ENST00000267082
CSAD,ENST00000267085
ERBB3,ENST00000267101
LMBR1L,ENST00000267102
C12orf10,ENST00000267103
ESYT1,ENST00000541590
TMBIM6,ENST00000423828
ANKRD52,ENST00000267116
KRT71,ENST00000267119
RB1,ENST00000267163
DIABLO,ENST00000443649
SBNO1,ENST00000420886
SETD1B,ENST00000267197
VPS33A,ENST00000267199
VPS37B,ENST00000267202
RHOF,ENST00000267205
DIAPH3,ENST00000400324
SLAIN1,ENST00000488699
RBM26,ENST00000267229
SRRM4,ENST00000267260
METTL21C,ENST00000267273
RNF113B,ENST00000267291
ZIC5,ENST00000267294
RAB20,ENST00000267328
ANKRD10,ENST00000267339
TTC6,
SSTR1,ENST00000267377
CDH24,ENST00000397359
REM2,ENST00000267396
CBLN3,ENST00000267406
TINF2,ENST00000267415
NOVA1,ENST00000539517
NOP9,ENST00000267425
FITM1,ENST00000267426
FANCM,ENST00000267430
PELI2,ENST00000267460
RTN1,ENST00000267484
C14orf37,ENST00000267485
SLC38A6,ENST00000354886
ADAM21,ENST00000603540
RDH12,ENST00000551171
RAB15,ENST00000267512
WDR89,ENST00000394942
ESR2,ENST00000341099
STON2,ENST00000555447
EFCAB11,ENST00000316738
GPR65,ENST00000267549
PTGR2,ENST00000555661
JDP2,ENST00000267569
AK7,ENST00000267584
FAM181A,ENST00000267594
ITPK1,ENST00000267615
FBLN5,ENST00000342058
TRIP11,ENST00000267622
GOLGA8B,ENST00000267731
DUOXA1,ENST00000267803
ZNF280D,ENST00000267807
TCF12,ENST00000438423
MFAP1,ENST00000267812
SORD,ENST00000267814
MYEF2,ENST00000324324
LYSMD2,ENST00000267838
SLC27A2,ENST00000267842
FGF7,ENST00000267843
HDC,ENST00000267845
MYZAP,ENST00000267853
BNIP2,ENST00000267859
RAD51,ENST00000382643
SRP14,ENST00000267884
DISP2,ENST00000267889
TTBK2,ENST00000267890
COMMD4,ENST00000267935
UBE2Q2,ENST00000267938
PSTPIP1,ENST00000558012
ETFA,ENST00000557943
BCL2A1,ENST00000267953
TSPAN3,ENST00000267970
WDR61,ENST00000267973
NCOA2,ENST00000452400
MAN2C1,ENST00000565683
MESDC1,ENST00000267984
TPM1,ENST00000358278
IGF1R,ENST00000268035
ARRDC4,ENST00000268042
PIF1,ENST00000268043
USP3,ENST00000380324
CYP11A1,ENST00000268053
BBS4,ENST00000268057
PML,ENST00000268058
ADAMTS17,ENST00000268070
CCDC33,ENST00000398814
HEXA,ENST00000268097
SCAMP2,ENST00000268099
RHCG,ENST00000268122
POLG,ENST00000268124
RLBP1,ENST00000268125
WDR93,ENST00000268130
TICRR,ENST00000268138
DET1,ENST00000564406
MFGE8,ENST00000268150
ZNF710,ENST00000268154
ST8SIA2,ENST00000268164
FURIN,ENST00000268171
IQGAP1,ENST00000268182
CRTC3,ENST00000268184
EFTUD1,ENST00000268206
SEC11A,ENST00000268220
SEPT12,ENST00000268231
ABAT,ENST00000396600
PMM2,ENST00000268261
PRSS36,ENST00000268281
ITGAX,ENST00000268296
ARMC5,ENST00000268314
FTO,ENST00000471389
UQCRC2,ENST00000268379
CDR2,ENST00000268383
IGSF6,ENST00000268389
MYLK4,ENST00000274643
NKD1,ENST00000268459
DHX38,ENST00000268482
TXNL4B,ENST00000268483
MARVELD3,ENST00000299952
ZFHX3,ENST00000268489
NUDT7,ENST00000268533
CMTM2,ENST00000268595
CDH11,ENST00000268603
NOL3,ENST00000568146
MAP1LC3B,ENST00000268607
CDH13,ENST00000268613
ZCCHC14,ENST00000268616
ADAD2,ENST00000268624
IRF8,ENST00000268638
ZNF174,ENST00000268655
RPL3L,ENST00000268661
NDUFB10,ENST00000268668
PDPK1,ENST00000342085
TIGD7,ENST00000396862
DEF8,ENST00000268676
CBFA2T3,ENST00000268679
GALNS,ENST00000268695
GAS8,ENST00000268699
SPG7,ENST00000268704
MED9,ENST00000268711
NCOR1,ENST00000268712
COPS3,ENST00000268717
GID4,ENST00000268719
CPNE7,ENST00000268720
PHF12,ENST00000332830
PIGS,ENST00000308360
KSR1,ENST00000398988
NEK8,ENST00000268766
DPEP3,ENST00000268793
GFOD2,ENST00000268797
NOB1,ENST00000268802
PRPSAP2,ENST00000268835
RFFL,ENST00000315249
MYO19,ENST00000431794
RASL10B,ENST00000268864
UNC45B,ENST00000268876
BZRAP1,ENST00000343736
PCTP,ENST00000268896
OR4D1,ENST00000268912
KIF2B,ENST00000268919
EPN3,ENST00000268933
TOB1,ENST00000499247
SPATA22,ENST00000573128
SGSM2,ENST00000268989
LRRC46,ENST00000269025
SSH2,ENST00000269033
RHBDL3,ENST00000269051
SPACA3,ENST00000269053
ABCA8,ENST00000269080
ABCA10,ENST00000269081
MPP2,ENST00000269095
G6PC3,ENST00000269097
CLTC,ENST00000269122
C17orf64,ENST00000269127
SS18,ENST00000415083
CDH2,ENST00000269141
TAF4B,ENST00000269142
AFG3L2,ENST00000269143
IMPA2,ENST00000269159
GNAL,ENST00000334049
SLC39A6,ENST00000269187
DTNA,ENST00000598334
C18orf21,ENST00000592875
GALNT1,ENST00000269195
ASXL3,ENST00000269197
MEP1B,ENST00000269202
SLC25A52,ENST00000269205
GAREM,ENST00000269209
ESCO1,ENST00000269214
GATA6,ENST00000269216
LAMA3,ENST00000313654
GREB1L,ENST00000580732
C18orf8,ENST00000269221
NPC1,ENST00000269228
PELP1,ENST00000572293
MYH10,ENST00000360416
ARRB2,ENST00000412477
ZMYND15,ENST00000573751
SAT2,ENST00000269298
ASGR1,ENST00000269299
PIK3R5,ENST00000447110
TP53,ENST00000269305
CCDC40,ENST00000397545
ARHGDIA,ENST00000269321
TTYH2,ENST00000269346
RAB40B,ENST00000571995
EIF4A3,ENST00000269349
CSNK1D,ENST00000314028
FN3KRP,ENST00000269373
TRIM65,ENST00000269383
CBX8,ENST00000269385
SECTM1,ENST00000269389
RNF157,ENST00000269391
AZI1,ENST00000450824
ZNF750,ENST00000269394
CBX4,ENST00000269397
CBX2,ENST00000310942
RNF165,ENST00000269439
DYM,ENST00000269445
ELAC1,ENST00000269466
MBD1,ENST00000590208
TNFRSF11A,ENST00000586569
SERPINB13,ENST00000344731
SERPINB12,ENST00000269491
ZCCHC2,ENST00000269499
FBXO15,ENST00000419743
CBLN2,ENST00000269503
PMAIP1,ENST00000316660
NT5C3B,ENST00000435506
PIP4K2B,ENST00000269554
ERBB2,ENST00000269571
KRT10,ENST00000269576
PNMT,ENST00000269582
ARL5C,ENST00000444555
IGFBP4,ENST00000269593
TXNL4A,ENST00000269601
AKAP8,ENST00000269701
CYP4F22,ENST00000269703
SAMD1,
SLC39A3,ENST00000269740
PPAP2C,ENST00000327790
MED16,ENST00000325464
ZNF544,ENST00000269829
ZIM3,ENST00000269834
PRDM15,ENST00000269844
FEM1A,ENST00000269856
CIB3,ENST00000269878
CALR3,ENST00000269881
SH3GL1,ENST00000269886
ARMC6,ENST00000535612
DMRTC2,ENST00000269945
CCDC97,ENST00000269967
ZNF45,ENST00000269973
BCKDHA,ENST00000269980
ZFP14,ENST00000270001
ZNF155,ENST00000407951
SSBP4,ENST00000270061
SMG9,ENST00000270066
HUNK,ENST00000270112
LRRC56,ENST00000270115
IFNAR1,ENST00000270139
SOD1,ENST00000270142
SIK1,ENST00000270162
DNMT3L,ENST00000270172
SCYL1,ENST00000270176
DOPEY2,ENST00000399151
IL19,ENST00000340758
EMP3,ENST00000270221
DMWD,ENST00000270223
SAE1,ENST00000270225
BCAM,ENST00000270233
NTN5,ENST00000270235
LMTK3,ENST00000270238
GEMIN7,ENST00000270257
CBLC,ENST00000270279
WTIP,ENST00000590071
WDR62,ENST00000401500
FXYD7,ENST00000270310
ADAMTS10,ENST00000270328
SLC6A3,ENST00000270349
RNPEPL1,
CAPN10,ENST00000391984
KIR3DL2,ENST00000326321
ZNF581,ENST00000587252
LILRB4,ENST00000391736
ZNF816,ENST00000357666
CACNG8,ENST00000270458
ZNF787,ENST00000270459
C19orf52,ENST00000270502
FBN3,ENST00000600128
EVI5L,ENST00000538904
TIMM44,ENST00000270538
TM4SF5,ENST00000270560
SLC47A1,ENST00000270570
KLHDC4,ENST00000270583
PSMB6,ENST00000270586
GPR32,ENST00000270590
ACPT,ENST00000270593
ZNF473,ENST00000595661
RPS11,ENST00000270625
PTH2,ENST00000270631
SPIB,ENST00000595883
IGLON5,ENST00000270642
RCN3,ENST00000270645
ZNF614,ENST00000270649
WRAP73,ENST00000270708
PRDM16,ENST00000270722
ARHGEF19,ENST00000270747
PGD,ENST00000270776
SH3BGRL3,ENST00000270792
IL22RA1,ENST00000270800
ZNF593,ENST00000374266
C1orf216,ENST00000270815
EVA1B,ENST00000270824
PLK4,ENST00000270861
FCN3,ENST00000270879
ITGB3BP,ENST00000371092
LPHN2,ENST00000319517
TINAGL1,ENST00000271064
COL16A1,ENST00000373672
MOB3C,ENST00000271139
CYP4B1,ENST00000371923
SLC44A3,ENST00000271227
CTTNBP2NL,ENST00000271277
PSMA5,ENST00000271308
FNDC7,ENST00000370017
CD53,ENST00000271324
PROK1,ENST00000271331
CELSR2,ENST00000271332
GJA5,ENST00000271348
GPR161,ENST00000537209
MPC2,ENST00000367846
SFT2D2,ENST00000271375
DUSP27,ENST00000361200
POU2F1,ENST00000367866
ILDR2,ENST00000271417
FCGR2A,ENST00000271450
NUF2,ENST00000271452
UAP1,ENST00000367926
PRCC,ENST00000271526
FCRL4,ENST00000271532
TOR1AIP1,ENST00000606911
HMCN1,ENST00000271588
PRUNE,ENST00000271620
SF3B4,ENST00000271628
CGN,ENST00000271636
S100A11,ENST00000271638
SETDB1,ENST00000271640
ADAMTSL4,ENST00000271643
CTSK,ENST00000271651
PI4KB,ENST00000368875
CERS2,ENST00000271688
ENSA,ENST00000339643
POGZ,ENST00000271715
GOLPH3L,ENST00000271732
KCNH1,ENST00000271751
EIF2D,ENST00000271764
CRNN,ENST00000271835
ADAM15,ENST00000356955
JTB,ENST00000271843
TPM3,ENST00000368530
NUP210L,ENST00000368559
SLC27A3,ENST00000368661
UBAP2L,ENST00000428931
GON4L,ENST00000437809
CREB3L4,ENST00000368607
KCNN3,ENST00000271915
CAPN9,ENST00000271971
ACP1,ENST00000272067
SDE2,ENST00000272091
ARF1,ENST00000541182
ITPKB,ENST00000429204
CNIH3,ENST00000272133
LEFTY1,ENST00000272134
C1orf35,ENST00000272139
LBR,ENST00000338179
WNT9A,ENST00000272164
EPHX1,ENST00000366837
REN,ENST00000272190
PPFIA4,ENST00000272198
PLEKHA6,ENST00000272203
ARL8A,ENST00000272217
OSR1,ENST00000536433
GDF7,ENST00000272224
PDIA6,ENST00000272227
RHOB,ENST00000272233
ATP6V1C2,ENST00000272238
HNRNPLL,ENST00000409636
GALM,ENST00000272252
LTBP1,ENST00000404816
RPL21,ENST00000311549
ABCG8,ENST00000272286
CALM2,ENST00000272298
SMEK2,ENST00000345102
RPS27A,ENST00000272317
WDPCP,ENST00000272321
VPS54,ENST00000272322
REG3G,ENST00000272324
ASXL2,
ETAA1,ENST00000272342
SNRPG,ENST00000272348
CLEC4F,ENST00000272367
MEIS1,ENST00000272369
OTOF,ENST00000272371
TRIM43,ENST00000272395
MRPS5,ENST00000272418
ANKRD53,ENST00000360589
TPRKB,ENST00000272424
NAT8,ENST00000272425
EXOC6B,ENST00000272427
SFXN5,ENST00000272433
TEX261,ENST00000272438
DUSP11,ENST00000272444
SULT1C4,ENST00000272452
MALL,ENST00000272462
RALB,ENST00000272519
C1QL2,ENST00000272520
TMEM177,ENST00000424086
SLC20A1,ENST00000272542
FBLN7,ENST00000331203
ZC3H8,ENST00000409573
CNGA3,ENST00000393504
FAHD2B,ENST00000414820
UBXN4,ENST00000272638
NXPH2,ENST00000272641
THSD7B,
GPR17,ENST00000544369
POLR2D,ENST00000272645
