#GENE	SYN_GERP
AGTRAP	-1.4347425287356321
MTHFR	-0.6413582236842104
CLCN6	-0.7466300458715596
NPPA	-0.6988124999999998
NPPB	-1.5491037974683548
KIAA2013	-0.2335076923076923
PLOD1	-0.34196011695906436
MFN2	-0.47736685878962537
MIIP	-1.7646261434977577
TNFRSF8	-1.5200844277108432
TNFRSF1B	-2.0063512890624997
VPS13D	-1.0013164012096774
DHRS3	0.3412523170731707
AADACL4	-2.4244197916666668
AADACL3	-3.2611953642384104
C1orf158	-3.1519574712643674
PRAMEF12	-1.408772894736842
PRAMEF1	-0.8301138613861386
PRAMEF11	-0.794889502762431
PRAMEF2	-0.3807688442211055
PRAMEF4	-1.0053694581280788
PRAMEF10	-1.0961090821256039
PRAMEF7	-0.7129493273542599
PRAMEF6	-0.912862801932367
PRAMEF22	-0.6190948598130841
PRAMEF13	-0.36035741293532336
PRAMEF18	-0.8486176851851852
PRAMEF16	-0.8699902
PRAMEF17	-0.668086
LRRC38	0.48838980891719747
PDPN	-1.8139337837837834
PRDM2	-2.651031301627034
KAZN	0.16800150895140667
TMEM51	-2.4088055555555554
C1orf195	-1.00538
EFHD2	0.35959439252336445
CTRC	-1.1137661764705884
CELA2A	-0.6881986301369863
CELA2B	-0.7699442657342658
CASP9	-1.1145864077669903
DNAJC16	-1.9675141955835962
AGMAT	-1.4157695238095238
DDI2	0.7858465240641712
RSC1A1	0.27517083333333336
PLEKHM2	0.02044656188605112
SLC25A34	-1.0558739583333334
TMEM82	-0.00705695652173918
FBLIM1	-1.4763728971962617
SPEN	-1.5831385276890308
ZBTB17	-1.4624866492146595
C1orf64	-2.196663551401869
HSPB7	-1.1191905263157895
CLCNKA	-0.6192986010362694
CLCNKB	-0.5875447028423773
FAM131C	-0.6159567567567568
EPHA2	-0.9033690476190477
ARHGEF19	-0.5356776696832578
RSG1	-0.9607960264900663
FBXO42	-0.45577425474254735
SZRD1	1.9036676923076923
SPATA21	-0.8830198734177215
NECAP2	-0.9693606896551726
FAM231A	-0.004094736842105263
CROCC	-0.7624728597449908
MFAP2	-0.49996385542168664
ATP13A2	-0.6828230659025788
SDHB	-1.8534504958677684
PADI2	-0.1633778125
PADI1	-0.703068253968254
PADI3	-0.40775221518987337
PADI4	-1.093015286624204
RCC2	-0.9058940727272728
ARHGEF10L	-0.2954775602409637
ACTL8	-2.7382320652173915
IGSF21	-0.3513014925373134
KLHDC7A	-1.4685193258426965
PAX7	-0.4721433823529412
TAS1R2	-0.32701715686274513
ALDH4A1	-0.7153949494949495
IFFO2	0.7909697211155379
UBR4	-0.33410433174989845
EMC1	-0.85512038
MRTO4	-1.4913859999999997
AKR7A3	-0.13869411764705883
AKR7A2	-0.26616051282051284
PQLC2	-0.18676319018404902
CAPZB	1.2965894736842103
MINOS1-NBL1	-0.3367555555555556
MINOS1	1.3242941176470588
NBL1	-0.31491018518518515
HTR6	-0.17465120274914092
TMCO4	-1.1163222535211268
RNF186	-0.8384450381679389
OTUD3	0.6032402597402597
PLA2G2E	-0.7594927536231886
PLA2G2A	-3.131959649122807
PLA2G5	-1.0160492063492068
PLA2G2D	-0.8137796610169491
PLA2G2F	-0.09070842105263173
UBXN10	-2.4794111428571433
CAMK2N1	2.0870540540540543
MUL1	-0.5820221301775148
FAM43B	1.2944710000000001
CDA	-1.3932575757575758
PINK1	-1.044305637982196
DDOST	-0.901891304347826
KIF17	-0.8031028957528957
SH2D5	-0.7225497942386832
HP1BP3	1.697722440944882
EIF4G3	0.9280653146853148
ECE1	-0.7362415254237288
NBPF3	-0.59613790513834
ALPL	-0.8195059479553902
RAP1GAP	0.04924322766570606
USP48	-0.5621284696569919
LDLRAD2	-0.9521769186046513
HSPG2	-1.0395235291782452
CELA3B	-1.2046446052631579
CELA3A	-1.1374585714285714
CDC42	2.7885670103092783
WNT4	-0.38319553072625695
ZBTB40	-1.2191245901639347
EPHA8	-0.47919676258992805
C1QA	-1.6191575539568344
C1QC	-1.677907638888889
C1QB	-1.7587835714285718
EPHB2	-0.028711280334728084
C1orf234	-0.8488829787234041
KDM1A	-0.049904635761589385
LUZP1	-1.849755508474576
HTR1D	-1.1323356783919598
HNRNPR	2.5806285714285715
ZNF436	-1.6296451219512196
TCEA3	-0.19489740259740257
ASAP3	-0.33304702272727277
E2F2	-1.156042735042735
ID3	-0.6268136363636363
RPL11	0.2389583333333333
TCEB3	-1.8086727350427352
PITHD1	1.2247000000000001
LYPLA2	1.015806923076923
GALE	-0.28844632768361583
HMGCL	-0.45867853107344636
FUCA1	-1.8691499999999994
CNR2	-0.594362
PNRC2	1.0937407407407407
SRSF10	1.6217216216216217
MYOM3	-1.480916490727532
IL22RA1	-1.7450675159235667
IFNLR1	-1.4292741594202898
GRHL3	-0.7011667796610169
STPG1	-2.2342443125
NIPAL3	-0.7506462311557788
RCAN3	-3.1205708333333337
NCMAP	0.345793220338983
SRRM1	0.06806216867469879
CLIC4	0.9279803921568627
RUNX3	0.11004606299212594
SYF2	-0.14059882352941175
C1orf63	-1.837496103896104
RHD	-0.5052995475113122
TMEM50A	-0.8240704225352112
RHCE	-1.0700877130044841
TMEM57	0.9879113725490195
LDLRAP1	-0.9835033557046978
MAN1C1	-0.5100055769230769
SEPN1	-0.08279615384615391
MTFR1L	1.3700275862068965
AUNIP	0.8263817567567568
PAQR7	-0.44528571428571423
STMN1	0.5110921052631578
PAFAH2	-0.24425698924731187
EXTL1	-0.5134376349614397
SLC30A2	-0.3470183510638297
TRIM63	0.18963412698412702
PDIK1L	1.7970400000000002
FAM110D	-0.4914483707865169
ZNF593	-0.21698666666666672
CNKSR1	-0.6821932816537468
CATSPER4	-0.7272819512195121
CEP85	0.5769949082568807
SH3BGRL3	1.9403863636363639
UBXN11	-1.2042837638376385
CD52	-0.7735857142857144
ZNF683	-0.1799321167883211
LIN28A	0.8008183673469389
DHDDS	0.9276673469387755
HMGN2	2.6360000000000006
RPS6KA1	-0.025362997347480088
ARID1A	1.8451877191558443
PIGV	0.22359863117870726
ZDHHC18	0.8994688073394497
SFN	0.04391150442477887
GPN2	0.10622981366459629
GPATCH3	-0.3289526119402985
NUDC	0.46253206106870226
NR0B2	-0.5446424657534246
C1orf172	-0.9632360730593609
TRNP1	0.02826294117647059
FAM46B	-0.7142972549019608
SLC9A1	0.3243838862559242
WDTC1	0.6766725786163523
TMEM222	0.9909294230769233
SYTL1	-0.2170252336448598
MAP3K6	-0.5988399493150685
FCN3	-1.1649191925465838
CD164L2	-0.19169052631578953
GPR3	0.05356682464454982
WASF2	0.04330172794117642
AHDC1	-1.0320484322453014
FGR	-0.650972610441767
IFI6	-1.5287710843373492
FAM76A	0.4248721804511278
STX12	0.5154242424242425
PPP1R8	1.1659011560693644
THEMIS2	-0.8941976190476191
RPA2	-0.7619885245901639
SMPDL3B	-1.3672420353982302
XKR8	-0.1682092050209205
EYA3	1.3515182954545455
PTAFR	-0.9078396226415095
DNAJC8	0.6888337209302325
ATPIF1	-1.4183863636363638
SESN2	-0.49644766393442624
MED18	-1.4873223913043476
PHACTR4	0.4962269005847954
RCC1	0.31054600000000004
TRNAU1AP	0.43796991869918694
TAF12	1.2399444444444445
RAB42	-0.48016274509803913
GMEB1	0.513304498141264
YTHDF2	2.604187912087912
OPRD1	0.46751486363636363
EPB41	0.6798409863013698
TMEM200B	0.03189032258064517
SRSF4	-0.045232019704433454
MECR	-0.2528058536585366
PTPRU	-0.33930825609756093
MATN1	-0.2513378906249999
LAPTM5	0.26222749999999995
SDC3	-0.980829180327869
PUM1	1.685233498349835
NKAIN1	1.0305049504950494
SNRNP40	0.05500700598802393
ZCCHC17	0.96299
FABP3	-0.2681904761904762
SERINC2	-0.2281850427350427
TINAGL1	-1.0680046218487393
HCRTR1	0.3453248319327731
PEF1	-0.2979187261146497
COL16A1	-1.0096559108527132
BAI2	0.20850010881392814
SPOCD1	-0.4755458431952662
PTP4A2	2.994095890410959
KHDRBS1	0.6614932
TMEM39B	0.5211545816733069
KPNA6	1.2955397071129708
TXLNA	-0.9081824686192469
CCDC28B	-0.7579223999999999
IQCC	-0.153786454183267
DCDC2B	0.06511538461538481
TMEM234	0.43232790697674417
EIF3I	-0.032977857142857205
FAM167B	-0.6074406593406593
LCK	0.01345732217573219
HDAC1	0.47620312500000006
MARCKSL1	0.558047619047619
TSSK3	1.6685415833333332
FAM229A	1.9685840909090908
BSDC1	0.29188878923766814
ZBTB8B	-1.677163888888889
ZBTB8A	-1.0423624999999999
ZBTB8OS	-0.017778787878787772
RBBP4	0.7752307262569832
SYNC	-0.7832008450704225
KIAA1522	-1.1236853768506059
YARS	-0.1474078838174274
S100PBP	1.2265252173913042
FNDC5	-0.032455238095238016
HPCA	0.7741918918918917
TMEM54	-0.5114329710144927
RNF19B	0.6986866485013624
AK2	-0.41791875
ADC	-0.18011017699115048
TRIM62	-0.08503757826086952
ZNF362	1.5375066079295154
A3GALT2	0.46231052631578945
PHC2	0.8030078512396694
ZSCAN20	-0.922834590909091
CSMD2	-0.678452644721907
HMGB4	-3.453288405797102
C1orf94	-0.9894013201320131
SMIM12	0.16255555555555554
GJB5	-0.9849545454545455
GJB4	-1.1333784782608698
GJB3	-0.6861481481481481
GJA4	-0.9920255434782609
DLGAP3	0.998681718464351
ZMYM6NB	0.34900116279069776
ZMYM6	0.6124533397312861
ZMYM1	0.3726458128078817
SFPQ	-0.4667246113989638
ZMYM4	1.8750657853810266
KIAA0319L	0.6146377823408625
NCDN	0.22956580645161292
TFAP2E	-0.6893334163701068
PSMB2	0.9707967741935486
C1orf216	-0.37924144144144145
CLSPN	0.5485180722891566
AGO4	0.7911162162162161
AGO1	1.8208143552311438
AGO3	1.4718206982543642
TEKT2	-0.4874814595959598
ADPRHL2	0.027012602040816347
COL8A2	-0.7808395953757225
TRAPPC3	1.7110986842105262
MAP7D1	-0.32333948559670783
THRAP3	0.6836777522935779
SH3D21	-0.41985272277227725
EVA1B	-0.2205959595959596
STK40	-1.0868382352941177
LSM10	-1.3498249999999994
OSCP1	-0.23085089820359278
MRPS15	0.1312086956521739
CSF3R	-0.11547695175438602
GRIK3	-0.09273424999999996
ZC3H12A	-2.1413898192771086
MEAF6	0.7179987804878047
SNIP1	-1.5736902173913045
DNALI1	-0.16670799999999994
GNL2	-1.3662453074433658
RSPO1	-0.3127495867768594
C1orf109	-1.8000698924731189
CDCA8	-0.10968333333333329
EPHA10	-0.472401462585034
MANEAL	-0.075675720164609
YRDC	-0.100912429378531
C1orf122	2.133972602739726
MTF1	1.555292578125
INPP5B	-0.736737859007833
SF3A3	0.015521902173912997
FHL3	0.31536336000000004
UTP11L	0.355065263157895
POU3F1	0.7008900348432054
RRAGC	1.7404062500000002
MYCBP	3.411919512195121
GJA9	0.42987383177570093
RHBDL2	-0.025790839694656613
AKIRIN1	1.7521964583333336
NDUFS5	-0.7225675675675673
MACF1	0.37641448934280636
BMP8A	-0.09558641806167395
PABPC4	0.6067507692307693
HEYL	-1.0692415
NT5C1A	-0.5451010869565218
HPCAL4	1.2785882352941176
PPIE	-0.22642
BMP8B	0.01867017543859645
OXCT2	-1.5596112681159422
TRIT1	0.1944002415458937
MYCL	0.40338527918781725
MFSD2A	-0.084594306049822
CAP1	0.9228929824561403
PPT1	-0.33961911764705877
RLF	1.095866481910275
TMCO2	0.9525810810810811
ZMPSTE24	0.31986969696969697
COL9A2	-1.1894098762886596
SMAP2	0.8394160194174758
ZFP69B	0.17731157894736843
ZFP69	0.41244252873563225
EXO5	-0.044231395348837216
ZNF684	-0.4062690476190477
RIMS3	0.255181976744186
NFYC	0.8040943396226415
KCNQ4	0.5070948600508906
CITED4	-0.05017272727272728
CTPS1	-1.3874424710424709
SLFNL1	-0.8275851674641148
SCMH1	1.518361746987952
EDN2	0.23231864077669895
HIVEP3	-0.5256205939849624
GUCA2B	-1.1902532258064518
GUCA2A	-1.758441379310345
FOXJ3	2.2647054347826083
RIMKLA	-0.23475909090909095
ZMYND12	0.054900649350649366
PPCS	0.41894005714285737
CCDC30	0.1301782426778243
PPIH	0.4984237499999999
YBX1	3.8409274390243904
CLDN19	-0.892441134751773
LEPRE1	-0.777787178217822
C1orf50	0.011426315789473713
CCDC23	-1.5576636363636367
ERMAP	-1.0863863813229575
ZNF691	-0.8121590909090909
SLC2A1	0.12934057971014487
FAM183A	-0.9193680000000002
EBNA1BP2	-1.0964777777777779
WDR65	-0.6957503144654088
TMEM125	-1.5036649006622518
C1orf210	-1.0075070422535213
TIE1	-0.5579131868131868
MPL	0.46408160237388724
CDC20	0.03521174418604647
ELOVL1	0.6307321212121213
MED8	0.267074149659864
SZT2	-0.5141084928609202
HYI	-0.6679767741935485
PTPRF	-0.9721536702649658
KDM4A	-1.0034654859611232
ST3GAL3	0.5004684444444444
ARTN	-0.7541840909090909
IPO13	1.2156224532224533
DPH2	-0.7049911688311687
ATP6V0B	0.7174579646017699
B4GALT2	0.7511813084112149
CCDC24	0.14002195121951222
SLC6A9	0.477598670212766
KLF17	-0.5459823232323232
DMAP1	-1.0589380991735537
ERI3	2.560356886227545
RNF220	0.9837050724637683
TMEM53	-0.08683774834437082
C1orf228	-0.3920643564356434
KIF2C	0.2017076677316294
RPS8	-0.4688866666666666
BEST4	-0.8181386973180079
PLK3	-0.0954870555555556
TCTEX1D4	-2.755612658227848
PTCH2	-0.11729745403111744
EIF2B3	1.1400238071065991
HECTD3	-0.4686988427947599
UROD	0.9434412060301507
ZSWIM5	0.9292779674796747
HPDL	-1.6509114782608698
MUTYH	-0.11226860841423944
TOE1	0.36410458333333334
TESK2	0.7000561403508773
MMACHC	-0.29549150326797374
PRDX1	0.29653639534883725
AKR1A1	-0.11995031055900611
NASP	1.4227411111111112
CCDC17	-1.0706827105263157
GPBP1L1	1.6280013513513512
TMEM69	0.8721
IPP	0.9748470817120624
MAST2	-0.218646316872428
PIK3R3	1.036608125
TSPAN1	-0.33763478260869567
POMGNT1	0.9661900804289545
LURAP1	0.23988976377952753
RAD54L	0.39257499999999995
LRRC41	1.5263545302713988
UQCRH	0.819625
NSUN4	0.17882512562814065
FAAH	-0.007118121212121258
DMBX1	-1.0561108294930874
KNCN	-0.7017354385964915
MKNK1	0.08912207207207214
MOB3C	-0.7291556451612904
ATPAF1	0.8151539772727273
EFCAB14	1.288911004784689
TEX38	-0.907795918367347
CYP4B1	-1.2861445833333331
CYP4A11	-1.4255659917355374
CYP4X1	-0.08140391304347827
CYP4Z1	-1.2734781725888324
CYP4A22	-0.30012464730290456
PDZK1IP1	-0.9177499999999997
TAL1	-0.3602387559808612
STIL	0.3382818292682927
CMPK1	1.3538450549450554
FOXE3	-0.3019255263157894
FOXD2	-0.0055242274052477915
TRABD2B	-1.2701604982206403
SLC5A9	-0.443954677002584
SPATA6	1.8184267676767676
AGBL4	0.1730053271028038
BEND5	1.9076739130434786
ELAVL4	2.1951617647058823
DMRTA2	-0.7590412532637076
FAF1	2.243659854014598
CDKN2C	2.0776375000000002
C1orf185	0.8538924050632912
RNF11	2.104072463768116
TTC39A	0.012178455284552811
EPS15	1.632087402144772
OSBPL9	0.846623202614379
NRD1	1.3169117693836978
RAB3B	-0.264788
TXNDC12	1.708945205479452
KTI12	-1.84654375
BTF3L4	2.101048484848485
ZFYVE9	1.3074500829187397
CC2D1B	-0.12851615044247783
ORC1	-0.73900077294686
PRPF38A	-0.3042350427350428
ZCCHC11	1.6271828687499998
GPX7	0.07829166666666665
FAM159A	-0.08136170212765961
COA7	-0.8740252873563221
ZYG11B	0.606599125
ZYG11A	-0.5153076291793313
ECHDC2	-0.8232912087912088
SCP2	-0.004888548387096847
PODN	-0.306947741046832
SLC1A7	-0.7128034853420196
CPT2	-1.0725222929936304
C1orf123	-0.1778571428571428
MAGOH	1.1880625
LRP8	0.14406992715231792
DMRTB1	-1.8949674299065418
GLIS1	-0.4451943055555556
NDC1	-0.418631045751634
YIPF1	-0.9843406802721089
DIO1	-0.385143396226415
HSPB11	0.04795636363636358
LRRC42	-0.4424829787234042
LDLRAD1	-1.1408899056603774
TMEM59	0.3913680272108843
TCEANC2	1.4442573033707864
CDCP2	-0.4983485655737705
CYB5RL	-0.6880709219858158
MRPL37	-0.6185535211267605
SSBP3	1.3420617224880382
ACOT11	-0.5469214046822742
FAM151A	-1.0553899082568805
MROH7	-0.2424498502994012
TTC4	-0.7073206666666666
PARS2	-1.1708068085106385
TTC22	0.32371551612903215
C1orf177	-1.635769950738916
DHCR24	-0.2729367088607596
TMEM61	-1.6860736434108528
BSND	-0.965324
PCSK9	-0.859390152284264
USP24	-0.958225969884854
PPAP2B	-0.514322142857143
PRKAA2	-1.049895914893617
C1orf168	-0.4507027083333333
C8A	-1.2069071729957805
C8B	-1.3683522448979593
DAB1	2.279997407407407
OMA1	-0.5079998029556649
TACSTD2	0.4176602162162162
MYSM1	0.5053626297577855
JUN	1.29864375
FGGY	0.041343661971831
HOOK1	-0.18490080645161291
CYP2J2	-1.927043181818182
C1orf87	-0.24712475113122173
NFIA	1.5593510135135136
TM2D1	-0.4190190476190477
INADL	-1.5794721014492756
L1TD1	-1.12784119133574
KANK4	-1.9788446640316204
USP1	0.711979359430605
DOCK7	-0.6532068255033556
ANGPTL3	0.03068037974683542
ATG4C	0.05551428571428573
FOXD3	0.18845646103896105
ALG6	-0.5741290476190475
ITGB3BP	0.7680638441558442
EFCAB7	0.4811440528634362
PGM1	-1.268762921348315
ROR1	-2.5893769585253454
UBE2U	-0.7149291139240506
CACHD1	-1.7204653703703705
RAVER2	-1.480609182389937
JAK1	-1.1144094104308389
AK4	-1.7304121212121215
DNAJC6	-1.1458586373165618
LEPR	-0.822798262806236
LEPROT	-0.8203108955223882
PDE4B	-1.3195619528619529
SGIP1	0.22743471655328804
TCTEX1D1	-1.4571845070422536
INSL5	-2.769696551724138
WDR78	-0.8342120498614957
MIER1	0.5043189767441858
SLC35D1	1.1229559444444446
C1orf141	-0.21858646616541347
IL23R	-1.0230507949790792
IL12RB2	-1.1597523437500001
SERBP1	1.4553041666666668
GADD45A	-0.005238961038960998
GNG12	-2.3210384615384614
DIRAS3	-1.17375
WLS	-1.0342077272727275
RPE65	-0.3925734782608696
DEPDC1	0.7065565
LRRC7	0.965922
LRRC40	-0.004846514522821616
SRSF11	0.9991441596638656
ANKRD13C	1.5982900432900435
HHLA3	-0.09420877192982449
CTH	-1.3192345549738218
PTGER3	-0.3151814410480349
ZRANB2	2.7307841379310345
NEGR1	1.7055641618497108
LRRIQ3	-0.34533096938775504
FPGT	-0.26168310483870966
FPGT-TNNI3K	-0.1837091787439613
TNNI3K	-0.07595533707865164
C1orf173	-1.4574273001508293
CRYZ	-1.66374
TYW3	-0.27943956043956036
LHX8	1.6178499999999998
SLC44A5	0.22962297297297293
ACADM	0.1767948066298343
RABGGTB	-1.2092053787878787
MSH4	0.28552748730964467
ASB17	0.8695684210526315
ST6GALNAC3	-0.515956
ST6GALNAC5	0.6759934640522876
PIGK	-0.045678343949044575
AK5	-0.9577877533039648
ZZZ3	1.7791687412429378
USP33	0.7558212121212122
FAM73A	-0.7478808429118774
NEXN	0.06765353535353537
FUBP1	1.3757012202380952
DNAJB4	0.6797462686567163
GIPC2	-0.7200938775510205
PTGFR	-1.1659273291925465
IFI44L	-0.671099418604651
IFI44	-0.8122369318181818
ELTD1	-0.0903139285714285
LPHN2	0.6878373970345965
TTLL7	0.46647047197640135
PRKACB	0.7053293333333334
SAMD13	1.2591037254901962
DNASE2B	-0.006363142857142812
RPF1	0.9121971830985914
GNG5	1.215810810810811
CTBS	0.2653607142857143
SSX2IP	0.15691619047619054
LPAR3	-0.8526790123456791
MCOLN2	-1.15687
WDR63	-1.571393909090909
MCOLN3	-1.1195353535353536
SYDE2	0.28819396226415095
C1orf52	-2.11094025974026
BCL10	-0.327811320754717
DDAH1	0.900141304347826
CYR61	0.29476260355029593
ZNHIT6	-0.17244607317073155
COL24A1	1.163267821888412
ODF2L	0.8014590673575129
CLCA2	-0.6548331249999999
CLCA1	-0.769181351981352
CLCA4	-0.5015982673267326
SH3GLB1	1.8685999999999998
HS2ST1	0.5799721804511279
LMO4	3.4154315068493153
PKN2	1.5321896984924623
GTF2B	0.42881075862068957
CCBL2	0.2802259259259259
GBP3	-1.1227307053941908
GBP1	-1.240799581589958
GBP2	-1.8473465811965815
GBP7	-1.8515316141732285
GBP4	-2.0001670342205324
GBP5	-1.1221458874458876
GBP6	-1.8785260546875002
LRRC8B	-1.3277003012048192
LRRC8C	-1.4538315315315316
LRRC8D	-0.27297195845697325
ZNF326	2.1202558482142857
BARHL2	-0.021363861386138543
ZNF644	2.2540651663405087
HFM1	1.4785630393996247
CDC7	1.312841525423729
TGFBR3	-1.0224198511166254
BRDT	-0.17140514044943814
EPHX4	0.6577979729729729
BTBD8	1.7549316176470589
KIAA1107	1.0031485819521178
C1orf146	1.367982608695652
GLMN	0.9109129533678756
RPAP2	0.793642543859649
GFI1	-0.4501975877192982
EVI5	1.4577280427631578
RPL5	0.5577457627118644
FAM69A	0.5094992215568862
MTF2	3.6733636363636366
TMED5	0.7920430107526881
DR1	1.149808823529412
FNBP1L	1.766639516908212
BCAR3	-1.2431546035805625
DNTTIP2	0.021889824561403478
GCLM	0.047276470588235184
ABCA4	-0.8140292883895132
ARHGAP29	-0.7588511867704282
ABCD3	1.1955049822064057
F3	-1.9489345070422535
SLC44A3	-1.5225080139372822
CNN3	-0.21965895522388054
ALG14	-0.9989473214285713
TMEM56	-0.30660587155963304
TMEM56-RWDD3	0.3796317777777778
RWDD3	-0.8485809523809522
PTBP2	1.3920591603053436
DPYD	-0.31007141666666665
SNX7	-1.2214415606936417
PALMD	-1.13981359223301
FRRS1	-0.48418949275362333
AGL	-0.1649265152
SLC35A3	0.9491093167701864
HIAT1	0.22866296296296296
SASS6	0.0007056910569105708
TRMT13	1.0421799999999999
LRRC39	0.04017424242424229
DBT	-0.42400720720720725
RTCA	0.21482417582417582
CDC14A	0.03770955223880597
GPR88	0.34798207885304655
VCAM1	-1.2385286153846156
EXTL2	-1.512873282442748
SLC30A7	0.8386213836477987
DPH5	-0.05758823529411771
S1PR1	-0.48901336898395725
OLFM3	0.08801195652173918
COL11A1	-0.3124981337638376
RNPC3	0.42664046511627907
AMY2B	-0.6112511737089201
AMY2A	-0.5534914150943396
AMY1A	-0.28335635071090054
AMY1B	-0.36144232227488154
AMY1C	-0.4869607109004739
PRMT6	0.11524466019417476
NTNG1	1.05251341991342
VAV3	0.024573817034700324
SLC25A24	-0.7040643902439023
NBPF4	-0.8112409191176471
NBPF6	-0.8550527137546468
FAM102B	0.6665712574850301
HENMT1	-2.944503550295858
PRPF38B	1.0776551813471502
FNDC7	-1.1635054278074866
STXBP3	1.37235
AKNAD1	-0.5207873887240356
GPSM2	-0.926587992831541
CLCC1	-1.4938986784140968
WDR47	1.1235636432160805
TAF13	0.3082954545454545
TMEM167B	1.639302564102564
C1orf194	-0.6343434782608696
KIAA1324	-0.6213246987951807
SARS	-0.7132144796380091
CELSR2	-0.5710247487745098
PSRC1	-0.5854485781990523
MYBPHL	-0.43697916666666664
SORT1	0.16161293532338308
PSMA5	1.8599869158878501
SYPL2	0.5209481751824817
ATXN7L2	1.2040257985257987
CYB561D1	0.4481556291390728
AMIGO1	0.3046238866396761
GPR61	-0.0040376865671642205
GNAI3	1.5183984848484848
GNAT2	0.14670676691729329
AMPD2	0.131005311778291
