GENE	synRVIS	synRVIS.centile	synRVIS_RSCU	synRVIS_RSCU.centile	synGERP	synGERP.centile
ACBD7	-0.17	0.62	-0.19	0.58	-1.09	0.65
ACCS	0.64	0.78	0.39	0.73	-0.32	0.37
ACCSL	0.52	0.75	0.26	0.69	-0.94	0.6
ACD	-0.74	0.13	-0.8	0.11	-0.91	0.59
ACE	4.3	0.99	1.1	0.89	-0.78	0.54
ACE2	0.76	0.82	1.57	0.94	-0.4	0.4
ACER1	0.8	0.84	1.62	0.94	-1.97	0.88
ACER2	-0.36	0.41	0.65	0.82	-0.86	0.57
ACER3	0.97	0.88	0.76	0.85	1.74	0.03
ACHE	0.46	0.74	0.21	0.68	-0.51	0.43
ACIN1	-1.63	0.01	0.32	0.71	1.23	0.07
ACKR2	0.72	0.81	1.52	0.93	-1.17	0.68
ACKR3	0.69	0.8	0.45	0.75	-1.04	0.63
ACKR4	0.77	0.83	-0.51	0.27	-2.32	0.93
ACLY	-0.16	0.62	-0.47	0.31	-1.23	0.69
ACMSD	-0.43	0.34	-0.47	0.31	-0.12	0.3
ACN9	-0.22	0.57	-0.24	0.52	-0.73	0.52
ACO1	-1.14	0.04	1.9	0.96	-0.85	0.56
ACO2	0.11	0.69	-0.18	0.58	-0.73	0.52
ACOT1	-0.2	0.59	-0.22	0.55	-0.48	0.42
ACOT11	-0.79	0.11	-0.86	0.09	-0.55	0.45
ACOT12	-0.62	0.19	-0.67	0.16	-1.94	0.88
ACOT13	1.05	0.9	-0.2	0.56	-1.44	0.76
ACOT2	-0.48	0.29	-0.52	0.26	-0.48	0.43
ACOT4	-0.38	0.39	-0.42	0.35	-0.22	0.33
ACOT6	-0.28	0.51	-0.3	0.46	-0.31	0.37
ACOT7	-0.69	0.15	0.29	0.7	-1.09	0.65
ACOT8	-0.32	0.46	-0.35	0.41	-0.03	0.28
ACOT9	-0.32	0.46	-0.35	0.41	-0.25	0.34
ACOX1	-0.71	0.14	1.32	0.91	-1.39	0.75
ACOX2	0.31	0.71	1.08	0.89	-0.76	0.53
ACOX3	0.25	0.71	1.02	0.88	-2.58	0.95
ACOXL	-0.59	0.2	-0.64	0.18	-1.4	0.75
ACP1	-0.2	0.59	-0.22	0.55	-0.51	0.44
ACP2	0.66	0.79	0.41	0.74	-0.38	0.39
ACP5	0.82	0.84	0.59	0.79	-1.88	0.87
ACP6	0.76	0.82	1.57	0.94	-0.67	0.5
ACPL2	-0.7	0.14	-0.76	0.13	-2.07	0.9
ACPP	1.92	0.95	2.53	0.98	-1.43	0.76
ACPT	-0.53	0.25	-0.58	0.22	-1.6	0.8
ACR	-0.49	0.29	-0.53	0.25	-2.15	0.91
ACRBP	-0.69	0.15	-0.75	0.13	-1.28	0.71
ACRC	-0.6	0.2	-0.65	0.17	-0.7	0.51
ACRV1	-0.34	0.43	-0.37	0.39	-1.08	0.65
ACSBG1	2.55	0.98	1.88	0.96	-1.74	0.84
ACSBG2	0.39	0.73	1.17	0.89	-3.78	0.99
ACSF2	-0.62	0.19	-0.67	0.16	-0.67	0.5
ACSF3	0.35	0.72	1.13	0.89	-2.7	0.96
ACSL1	2.79	0.98	3.18	0.99	-1.64	0.82
ACSL3	-0.82	0.1	-0.89	0.08	-0.99	0.61
ACSL4	-0.59	0.2	-0.64	0.18	0.44	0.17
ACSL5	0.34	0.72	-0.97	0.07	-0.56	0.46
ACSL6	-0.94	0.07	-1.02	0.06	-0.14	0.31
ACSM1	0.52	0.75	1.32	0.91	-1.88	0.87
ACSM2A	-0.73	0.13	-0.79	0.12	-1.24	0.7
ACSM2B	4.15	0.99	3.31	0.99	-0.99	0.62
ACSM3	-0.62	0.19	-0.67	0.16	0.45	0.17
ACSM4	-0.56	0.23	-0.61	0.2	-0.41	0.4
ACSM5	0.41	0.73	0.15	0.67	-1.5	0.78
ACSS1	1.48	0.92	1.02	0.88	-1.96	0.88
ACSS2	0.7	0.8	1.51	0.93	1.05	0.08
ACSS3	0.44	0.74	1.22	0.9	-1.16	0.67
ACTA1	-0.54	0.24	-0.59	0.21	-0.02	0.28
ACTA2	-0.47	0.3	-0.51	0.27	-0.39	0.39
ACTB	0.16	0.7	-0.12	0.62	-0.58	0.46
ACTBL2	-0.49	0.28	0.51	0.77	-0.84	0.56
ACTC1	-0.6	0.2	-0.65	0.17	0.22	0.21
ACTG1	2.48	0.97	2.84	0.98	-1.66	0.82
ACTG2	0.77	0.83	-0.51	0.27	0.31	0.19
ACTL10	-0.25	0.54	-0.27	0.5	-1.28	0.71
ACTL6A	-0.51	0.27	1.54	0.93	-0.19	0.33
ACTL6B	0.62	0.78	0.37	0.72	0.39	0.18
ACTL7A	0.47	0.74	0.21	0.68	-2.05	0.9
ACTL7B	0.74	0.81	5.73	1	-1.32	0.73
ACTL8	-0.63	0.18	0.36	0.72	-2.74	0.96
ACTL9	-0.58	0.21	-0.63	0.18	-2.53	0.95
ACTN1	1.17	0.91	0.68	0.82	0.43	0.17
ACTN2	0.11	0.69	-0.18	0.58	-1.25	0.7
ACTN4	3.4	0.99	2.51	0.98	-0.35	0.38
ACTR10	-0.36	0.42	-0.39	0.38	0.57	0.14
ACTR1A	-0.45	0.32	-0.49	0.29	0.12	0.24
ACTR1B	-0.56	0.23	-0.61	0.2	-1.11	0.66
ACTR2	-0.41	0.36	-0.44	0.33	1	0.09
ACTR3	-0.41	0.36	-0.44	0.33	1.95	0.02
ACTR3B	-0.56	0.23	-0.61	0.2	-1.14	0.67
ACTR3C	-0.24	0.55	-0.27	0.5	-0.5	0.43
ACTR5	-0.79	0.11	-0.86	0.09	-1.67	0.82
ACTR6	-0.42	0.35	-0.46	0.32	0.88	0.1
ACTR8	1.77	0.94	1.32	0.91	-0.72	0.51
ACTRT1	-0.4	0.37	-0.44	0.33	-1.57	0.8
ACTRT2	0.51	0.75	1.3	0.91	-2.37	0.94
ACTRT3	-0.37	0.41	-0.4	0.37	-1.83	0.86
ACVR1	0.48	0.74	0.22	0.68	0.36	0.18
ACVR1B	-0.69	0.15	-0.74	0.13	-0.85	0.56
ACVR1C	0.68	0.8	0.44	0.74	-0.41	0.4
ACVR2A	-0.63	0.18	-0.68	0.16	1.76	0.03
ACVR2B	0.37	0.72	0.1	0.66	-0.27	0.35
ACVRL1	0.5	0.75	0.25	0.69	-0.08	0.29
ACY1	-0.47	0.3	-0.52	0.27	-1.17	0.68
ACY3	-0.41	0.36	-0.44	0.33	-1.6	0.81
ACYP1	-0.13	0.65	-0.15	0.61	0.75	0.12
ACYP2	-0.2	0.59	-0.22	0.55	-0.89	0.58
ADA	-0.46	0.31	-0.5	0.28	-1.67	0.82
ADAD1	0.65	0.79	0.41	0.73	0.95	0.09
ADAD2	-0.93	0.07	1.08	0.89	-1.95	0.88
ADAL	-0.33	0.45	-0.36	0.41	1.52	0.04
ADAM10	-0.86	0.09	-0.93	0.08	0.58	0.14
ADAM11	-0.63	0.18	-0.68	0.16	-0.11	0.3
ADAM12	5.06	1	-0.17	0.59	-1.85	0.86
ADAM15	-0.8	0.11	-0.87	0.09	-0.48	0.42
ADAM17	-0.96	0.07	0	0.65	-2.05	0.9
ADAM18	-0.92	0.07	0.04	0.65	-0.47	0.42
ADAM19	0.29	0.71	-1.03	0.06	-0.91	0.59
ADAM2	-0.82	0.1	-0.89	0.09	-2.39	0.94
ADAM20	0.31	0.71	-1	0.06	-1.71	0.83
ADAM21	2.72	0.98	2.06	0.96	-0.25	0.34
ADAM22	-1.01	0.06	-1.09	0.05	0.45	0.17
ADAM23	-0.73	0.13	-0.79	0.12	0.53	0.15
ADAM28	1.77	0.94	0.28	0.7	-1.32	0.72
ADAM29	0.31	0.71	-1.01	0.06	-1.95	0.88
ADAM30	-0.99	0.06	-1.07	0.05	-3.14	0.98
ADAM32	-0.55	0.24	-0.59	0.21	-0.41	0.4
ADAM33	-0.59	0.2	-0.64	0.18	-0.96	0.61
ADAM7	0.39	0.73	1.17	0.89	-0.86	0.57
ADAM8	-0.77	0.12	-0.83	0.1	-1.94	0.88
ADAM9	0.31	0.71	0.04	0.65	0.43	0.17
ADAMDEC1	0.66	0.79	1.46	0.92	-1.15	0.67
ADAMTS1	0.07	0.69	0.82	0.86	-2.05	0.9
ADAMTS10	-1.16	0.04	-1.25	0.03	-1.48	0.77
ADAMTS12	0.52	0.75	-1.06	0.06	-1.1	0.65
ADAMTS13	-0.4	0.37	0.32	0.71	-1.78	0.85
ADAMTS14	0.86	0.86	0.35	0.71	-0.54	0.45
ADAMTS15	-1.23	0.03	-1.33	0.03	-0.69	0.5
ADAMTS16	2.26	0.97	1.56	0.94	-2.85	0.97
ADAMTS17	2.12	0.97	4.56	1	-1.44	0.76
ADAMTS18	0.58	0.77	1.09	0.89	-1.79	0.85
ADAMTS19	-1.02	0.06	0.99	0.88	-0.11	0.3
ADAMTS2	-0.34	0.43	3.52	0.99	-0.89	0.58
ADAMTS20	-0.32	0.45	1.45	0.92	-0.85	0.56
ADAMTS3	1.19	0.91	-1.39	0.02	-0.87	0.57
ADAMTS4	0.21	0.7	0.98	0.88	-0.88	0.58
ADAMTS5	0.04	0.69	-0.25	0.52	-1.22	0.69
ADAMTS6	-1.18	0.04	-1.27	0.03	2.18	0.02
ADAMTS7	1.99	0.96	3.36	0.99	-1.43	0.76
ADAMTS8	0.15	0.69	-0.13	0.61	-1.26	0.71
ADAMTS9	1.08	0.9	-0.75	0.13	-1.25	0.7
ADAMTSL1	0.27	0.71	-0.29	0.48	-0.66	0.49
ADAMTSL2	-0.45	0.32	0.55	0.78	-1.29	0.72
ADAMTSL3	-1.93	0.01	-2.09	0.01	-2.7	0.96
ADAMTSL4	-1.35	0.02	-0.42	0.35	-1.16	0.67
ADAMTSL5	-0.34	0.43	-0.37	0.39	-1.42	0.75
ADAP1	0.62	0.78	0.37	0.72	-1.26	0.71
ADAP2	-0.39	0.38	-0.43	0.34	-0.07	0.29
ADAR	-0.53	0.25	-0.86	0.09	-1.3	0.72
ADARB1	0.24	0.7	-0.04	0.64	-2.96	0.98
ADARB2	-0.69	0.15	-0.74	0.13	-2.24	0.92
ADAT1	-0.66	0.16	1.37	0.91	-1.13	0.66
ADAT2	-0.24	0.55	-0.26	0.51	-1.79	0.85
ADAT3	1.05	0.9	0.84	0.87	-3.18	0.98
ADC	-0.66	0.16	-0.72	0.14	-0.18	0.32
ADCK1	0.54	0.76	0.29	0.7	-0.76	0.53
ADCK2	-0.78	0.11	-0.84	0.1	-1.55	0.79
ADCK3	0.17	0.7	1.98	0.96	-1.26	0.71
ADCK4	1.87	0.95	3.52	0.99	-0.68	0.5
ADCK5	-0.45	0.32	-0.49	0.28	-1.16	0.67
ADCY1	-0.25	0.54	0.48	0.76	-0.63	0.48
ADCY10	0.64	0.78	0.11	0.66	-1.79	0.85
ADCY2	-0.04	0.68	1.75	0.95	-1.78	0.84
ADCY3	0.66	0.79	0.13	0.67	-0.45	0.41
ADCY4	-0.92	0.08	0.05	0.65	-0.13	0.31
ADCY5	-0.43	0.33	-0.76	0.13	0.78	0.12
ADCY6	-1.46	0.02	-0.53	0.25	-0.24	0.34
ADCY7	-1.56	0.02	-0.64	0.18	-0.81	0.55
ADCY8	1.06	0.9	0.56	0.78	0.01	0.26
ADCY9	-2.21	0	1.79	0.95	-1.18	0.68
ADCYAP1	-0.22	0.57	0.81	0.86	0.53	0.15
ADCYAP1R1	0.64	0.78	0.39	0.73	-0.49	0.43
ADD1	0.43	0.73	-0.88	0.09	-1.71	0.83
ADD2	-0.97	0.07	-1.05	0.06	-0.58	0.46
ADD3	-0.82	0.1	-0.89	0.09	0.79	0.11
ADH1A	-0.5	0.28	-0.54	0.24	-1.17	0.68
ADH1B	-0.6	0.2	0.39	0.73	-1.32	0.73
ADH4	0.83	0.85	1.64	0.94	-0.68	0.5
ADH5	-0.31	0.47	-0.34	0.43	-1.54	0.79
ADH6	-0.4	0.37	-0.44	0.33	-2.08	0.9
ADH7	-0.45	0.32	-0.49	0.29	-2.72	0.96
ADHFE1	-0.5	0.28	-0.54	0.24	-0.53	0.44
ADI1	-0.28	0.51	-0.3	0.46	-2.29	0.93
ADIPOQ	-0.37	0.41	-0.4	0.37	-0.96	0.6
ADIPOR1	-0.43	0.34	-0.47	0.31	0.56	0.15
ADIPOR2	3.26	0.99	1.59	0.94	0.07	0.25
ADIRF	-0.12	0.66	-0.13	0.62	-1.42	0.76
ADK	-0.37	0.41	0.64	0.81	1.02	0.09
ADM	-0.23	0.56	-0.25	0.52	-1.02	0.62
ADM2	-0.08	0.67	-0.09	0.63	-0.76	0.53
ADM5	2.36	0.97	0.92	0.88	-0.44	0.41
ADNP	0.8	0.83	-1.81	0.01	-0.3	0.36
ADNP2	0.8	0.83	0.27	0.69	-3.63	0.99
ADO	1.03	0.9	0.81	0.86	0.44	0.17
ADORA1	0.68	0.8	-0.61	0.2	0.19	0.22
ADORA2A	0.62	0.78	0.37	0.72	-0.82	0.55
ADORA2B	0.8	0.83	-0.48	0.3	0.18	0.22
ADORA3	0.79	0.83	-0.49	0.29	0.25	0.21
ADPGK	-0.49	0.29	-0.53	0.25	-1.51	0.78
ADPRH	-0.51	0.26	1.53	0.93	-0.92	0.59
ADPRHL1	-0.51	0.26	-0.56	0.23	-3.2	0.98
ADPRHL2	-0.54	0.24	0.46	0.75	0.03	0.26
ADPRM	-0.34	0.43	-0.37	0.39	-0.97	0.61
ADRA1A	-0.69	0.15	-0.74	0.13	-0.08	0.29
ADRA1B	3.18	0.99	0.46	0.75	1.04	0.08
ADRA1D	-0.38	0.39	-0.42	0.35	-0.37	0.38
ADRA2A	0.8	0.84	0.57	0.79	0.47	0.16
ADRA2B	-0.57	0.22	-0.62	0.19	-0.84	0.56
ADRA2C	-0.53	0.25	1.51	0.93	0.54	0.15
ADRB1	-0.45	0.32	-0.49	0.28	1.18	0.07
ADRB2	-0.61	0.19	-0.66	0.17	0.52	0.15
ADRB3	-0.24	0.55	-0.26	0.51	-0.24	0.34
ADRBK1	-1.04	0.05	-1.12	0.05	-0.58	0.46
ADRBK2	-0.67	0.16	-0.73	0.14	-2.84	0.97
ADRM1	-0.66	0.16	-0.72	0.14	-1.8	0.85
ADSL	0.71	0.81	-0.57	0.22	-1.88	0.87
ADSS	-0.47	0.3	-0.51	0.27	0.75	0.12
ADSSL1	0.72	0.81	1.53	0.93	-2.01	0.89
ADTRP	-0.3	0.49	-0.32	0.44	-1.27	0.71
AEBP1	-1.41	0.02	-1.52	0.02	-1.36	0.74
AEBP2	-0.24	0.55	-0.26	0.51	1.8	0.03
AEN	-0.49	0.28	-0.54	0.25	-1.88	0.87
AES	-0.22	0.57	-0.24	0.53	-1.07	0.64
AFAP1	1.17	0.91	1.73	0.95	-2.81	0.97
AFAP1L1	0.36	0.72	-0.95	0.07	-0.36	0.38
AFAP1L2	0.15	0.7	-0.13	0.62	-1.69	0.83
AFF1	-0.3	0.47	0.42	0.74	-2.22	0.92
AFF2	0.05	0.69	-1.28	0.03	-0.11	0.3
AFF3	-0.43	0.34	1.33	0.91	-1.74	0.84
AFF4	-1.29	0.03	-1.39	0.02	1.3	0.06
AFG3L2	0.32	0.71	0.05	0.65	-1.28	0.71
AFM	-0.66	0.16	-0.72	0.14	-1.18	0.68
AFMID	-0.41	0.36	-0.45	0.32	-1.83	0.86
AFP	-0.72	0.14	0.26	0.69	-1.82	0.85
AFTPH	-0.98	0.06	-0.01	0.64	2.34	0.01
AGA	-0.42	0.35	0.59	0.79	-1.56	0.8
AGAP1	-0.24	0.55	-0.55	0.24	-0.98	0.61
AGAP2	0.43	0.73	0.17	0.67	0.29	0.2
AGAP3	-1.38	0.02	-0.45	0.33	-0.06	0.29
AGAP4	-0.08	0.67	-0.1	0.63	0.05	0.25
AGAP5	-0.3	0.49	-0.32	0.44	0.04	0.26
AGAP6	3.13	0.99	1.46	0.92	0.09	0.24
AGAP7	-0.49	0.29	-0.53	0.25	-0.01	0.27
AGAP8	-0.11	0.66	-0.12	0.62	0.06	0.25
AGBL1	-0.07	0.68	-0.37	0.4	-1.58	0.8
AGBL2	-0.92	0.07	-1	0.06	-1.09	0.65
AGBL4	1.05	0.9	-0.21	0.56	0.17	0.22
AGBL5	-1.27	0.03	-0.33	0.43	1.12	0.08
AGER	-0.32	0.46	-0.35	0.41	-0.21	0.33
AGFG1	0.57	0.76	1.37	0.91	1.94	0.02
AGFG2	-0.46	0.31	-0.5	0.28	0.26	0.2
AGGF1	-0.84	0.09	1.17	0.89	-0.51	0.43
AGK	-0.41	0.36	-0.44	0.33	-1.24	0.7
AGL	-0.35	0.42	0.37	0.72	-0.16	0.32
AGMAT	-0.37	0.4	-0.41	0.36	-1.42	0.75
AGMO	-0.58	0.21	-0.63	0.18	-1.15	0.67
AGO1	0.13	0.69	-0.15	0.6	1.82	0.03
AGO2	-0.06	0.68	2.77	0.98	-1.97	0.88
AGO3	-0.89	0.08	-0.97	0.07	1.47	0.05
AGO4	-0.86	0.09	-0.93	0.08	0.79	0.11
AGPAT1	-0.32	0.46	-0.35	0.41	0.96	0.09
AGPAT2	-0.36	0.42	0.66	0.82	-0.77	0.54
AGPAT3	1.88	0.95	1.44	0.92	-1.74	0.84
AGPAT4	1.96	0.96	2.57	0.98	-1	0.62
AGPAT5	-0.41	0.36	0.6	0.8	-1.29	0.72
AGPAT6	-0.59	0.21	-0.64	0.18	-1.05	0.64
AGPAT9	-0.61	0.19	-0.66	0.17	-0.41	0.4
AGPS	-0.64	0.17	-0.69	0.15	2.25	0.01
AGR2	-0.21	0.58	0.81	0.86	-1.16	0.67
AGR3	-0.19	0.6	0.84	0.86	-0.32	0.37
AGRN	-2.58	0	0.35	0.71	-1.89	0.87
AGRP	1.04	0.9	0.83	0.86	-0.93	0.59
AGT	-0.77	0.12	-0.83	0.1	-1.94	0.88
AGTPBP1	-1.13	0.04	-0.18	0.58	-0.03	0.28
AGTR1	0.77	0.83	0.54	0.77	-1.75	0.84
AGTR2	-0.37	0.4	-0.41	0.36	1.3	0.06
AGTRAP	-0.1	0.67	-0.11	0.63	-1.43	0.76
AGXT	0.68	0.8	2.53	0.98	-1.55	0.79
AGXT2	0.57	0.76	0.32	0.71	-0.87	0.57
AHCTF1	-1	0.06	-1.37	0.03	0.18	0.22
AHCY	-0.78	0.11	-0.84	0.1	-0.16	0.32
AHCYL1	-0.63	0.18	-0.69	0.15	1.28	0.06
AHCYL2	-0.59	0.2	-0.64	0.18	0.72	0.12
AHDC1	-2.11	0.01	0.85	0.87	-1.03	0.63
AHI1	-1.04	0.05	0.96	0.88	0.55	0.15
AHNAK	-2.81	0	-3.9	0	-1.93	0.88
AHNAK2	1.06	0.9	3.01	0.99	-3.13	0.98
AHR	-1.01	0.06	-0.05	0.64	-1.82	0.85
AHRR	0.36	0.72	0.09	0.66	-2.66	0.96
AHSA1	3.31	0.99	0.61	0.8	0.16	0.22
AHSA2	-0.18	0.61	-0.2	0.57	-0.53	0.44
AHSG	-0.44	0.33	-0.48	0.3	-2.03	0.89
AHSP	1.07	0.9	-0.19	0.58	-0.95	0.6
AICDA	-0.4	0.37	0.61	0.8	-1.46	0.77
AIDA	-0.26	0.53	-0.28	0.49	1.45	0.05
AIF1	-0.18	0.61	-0.2	0.56	0.52	0.15
AIF1L	-0.16	0.62	-0.18	0.58	0.2	0.21
